original_title,production_companies,genres,runtime,vote_average,vote_count
Muppet Treasure Island,Walt Disney Pictures,Action,100.0,6.5,93.0
Catwalk,[],Documentary,95.0,7.0,2.0
Headless Body in Topless Bar,[],Crime,110.0,0.0,0.0
Braveheart,Icon Entertainment International,Action,177.0,7.7,3404.0
Taxi Driver,Columbia Pictures Corporation,Crime,114.0,8.1,2632.0
Before and After,Caravan Pictures,Drama,108.0,5.8,37.0
Margaret's Museum,Téléfilm Canada,Drama,114.0,7.5,2.0
Le Bonheur est dans le pré,France 2 Cinéma,Comedy,106.0,7.0,23.0
Anne Frank Remembered,[],Documentary,117.0,7.3,4.0
The Young Poisoner's Handbook,Bavaria Film and Television Fund,Comedy,99.0,6.9,19.0
If Lucy Fell,TriStar Pictures,Comedy,92.0,5.4,11.0
Steal Big Steal Little,Savoy Pictures,Comedy,113.0,5.1,7.0
Race the Sun,TriStar Pictures,Action,100.0,5.2,21.0
The Boys of St. Vincent,[],Drama,90.0,7.0,7.0
Boomerang,Paramount Pictures,Comedy,117.0,5.4,139.0
Flirting with Disaster,Miramax Films,Comedy,92.0,6.3,66.0
The NeverEnding Story III,Studio Babelsberg,Fantasy,95.0,4.4,105.0
Jupiter's Wife,[],[],87.0,0.0,0.0
Pie in the Sky,[],Comedy,95.0,7.0,2.0
Angela,[],Comedy,99.0,5.6,9.0
Jade,Paramount Pictures,Action,95.0,5.1,45.0
Sonic Outlaws,[],Music,87.0,0.0,0.0
Down Periscope,Twentieth Century Fox Film Corporation,Comedy,92.0,5.6,110.0
From the Journals of Jean Seberg,Couch Potatoe Productions,Documentary,97.0,6.5,2.0
Man of the Year,[],Comedy,86.0,3.8,2.0
The Neon Bible,Channel Four Films,Drama,91.0,7.2,5.0
Target,[],[],122.0,0.0,0.0
Up Close & Personal,Cinergi Pictures Entertainment,Drama,119.0,5.9,51.0
The Birdcage,United Artists,Comedy,117.0,6.7,303.0
Gospa,[],Drama,125.0,7.0,2.0
The Brothers McMullen,Fox Searchlight Pictures,Comedy,98.0,6.3,23.0
Bad Boys,Columbia Pictures,Action,118.0,6.5,1729.0
The Amazing Panda Adventure,Warner Bros.,Action,81.0,5.0,31.0
The Basketball Diaries,New Line Cinema,Drama,102.0,7.2,472.0
An Awfully Big Adventure,Fine Line Features,Romance,113.0,6.0,11.0
Amateur,Channel Four Films,Crime,105.0,6.5,21.0
Apollo 13,Imagine Entertainment,Drama,140.0,7.3,1637.0
Rob Roy,United Artists,Adventure,139.0,6.5,151.0
The Addiction,October Films,Drama,82.0,6.4,46.0
Batman Forever,Warner Bros.,Action,121.0,5.2,1529.0
Beyond Rangoon,Columbia Pictures,Drama,100.0,6.4,21.0
Blue in the Face,Miramax Films,Comedy,83.0,6.8,28.0
Canadian Bacon,PolyGram Filmed Entertainment,Action,91.0,5.9,57.0
Casper,Universal Pictures,Fantasy,100.0,6.0,1045.0
Clockers,Universal Pictures,Mystery,128.0,6.8,69.0
Congo,Paramount Pictures,Action,109.0,5.0,214.0
Crimson Tide,Hollywood Pictures,Action,116.0,7.0,508.0
Crumb,Superior Pictures,Documentary,119.0,7.6,71.0
Desperado,Columbia Pictures,Thriller,104.0,6.8,898.0
Devil in a Blue Dress,TriStar Pictures,Drama,102.0,6.3,88.0
Die Hard: With a Vengeance,Twentieth Century Fox Film Corporation,Action,128.0,6.9,2094.0
The Doom Generation,Why Not Productions,Action,80.0,5.6,57.0
Feast of July,Touchstone Pictures,Drama,116.0,0.0,0.0
First Knight,Columbia Pictures Corporation,Action,134.0,5.9,319.0
Free Willy 2 - The Adventure Home,Regency Enterprises,Adventure,95.0,5.5,130.0
Hackers,United Artists,Action,107.0,6.2,406.0
Jeffrey,The Booking Office,Comedy,92.0,6.5,19.0
Johnny Mnemonic,TriStar Pictures,Adventure,97.0,5.5,380.0
Judge Dredd,Hollywood Pictures,Science Fiction,96.0,5.4,643.0
Jury Duty,TriStar Pictures,Comedy,88.0,4.0,34.0
Kids,Miramax Films,Drama,91.0,6.8,280.0
Living in Oblivion,JDI productions,Drama,89.0,7.2,64.0
Lord of Illusions,United Artists,Mystery,119.0,5.9,87.0
Love & Human Remains,The Ontario Film Development Corporation,Comedy,100.0,7.0,7.0
Mad Love,Touchstone Pictures,Drama,95.0,5.5,27.0
Mallrats,Universal Pictures,Romance,94.0,6.8,400.0
Mighty Morphin Power Rangers: The Movie,Twentieth Century Fox Film Corporation,Action,92.0,5.2,153.0
Moonlight and Valentino,PolyGram Filmed Entertainment,Comedy,100.0,5.6,10.0
Mute Witness,Comet Film Produktion GmbH,Thriller,95.0,6.4,36.0
Nadja,Kino Link Company,Horror,93.0,5.9,12.0
The Net,Columbia Pictures,Crime,114.0,5.6,359.0
Nine Months,Twentieth Century Fox Film Corporation,Comedy,103.0,5.5,171.0
Party Girl,Party Productions,Comedy,94.0,5.8,14.0
The Prophecy,Dimension Films,Fantasy,98.0,6.4,139.0
Reckless,Playhouse International Pictures,Fantasy,91.0,10.0,1.0
Safe,Killer Films,Drama,119.0,7.2,62.0
The Scarlet Letter,Hollywood Pictures,Drama,135.0,5.5,111.0
The Show,[],Documentary,93.0,5.3,2.0
Showgirls,United Artists,Drama,128.0,4.9,261.0
Smoke,Miramax Films,Comedy,112.0,7.2,115.0
Something to Talk About,Spring Creek Productions,Comedy,106.0,5.7,60.0
Species,Metro-Goldwyn-Mayer (MGM),Science Fiction,108.0,5.5,457.0
The Stars Fell on Henrietta,Malpaso Productions,Drama,109.0,6.6,6.0
Strange Days,Lightstorm Entertainment,Crime,145.0,6.8,334.0
The Tie That Binds,Hollywood Pictures,Thriller,99.0,4.6,9.0
Three Wishes,Savoy Pictures,Drama,115.0,6.1,18.0
Total Eclipse,Société Française de Production (SFP),Drama,111.0,6.5,112.0
"To Wong Foo, Thanks for Everything! Julie Newmar",Universal Pictures,Comedy,105.0,6.3,117.0
Under Siege 2: Dark Territory,Regency Enterprises,Action,100.0,5.6,217.0
Unstrung Heroes,Hollywood Pictures,Comedy,93.0,6.4,9.0
Unzipped,[],Documentary,73.0,6.0,6.0
A Walk in the Clouds,Twentieth Century Fox Film Corporation,Drama,103.0,6.5,168.0
Waterworld,Universal Pictures,Adventure,135.0,5.9,1017.0
White Man's Burden,HBO,Drama,89.0,5.1,25.0
Wild Bill,United Artists,Action,98.0,5.9,27.0
The Browning Version,Paramount Pictures,Drama,97.0,6.0,11.0
Bushwhacked,Twentieth Century Fox Film Corporation,Adventure,90.0,4.9,29.0
Before the Rain,PolyGram Audiovisuel,Drama,113.0,7.7,45.0
Before Sunrise,Detour Film Production,Drama,105.0,7.7,984.0
Billy Madison,Jack Giarraputo Productions,Comedy,89.0,6.2,464.0
The Babysitter,Spelling Films International,Drama,90.0,4.7,27.0
Boys on the Side,Regency Enterprises,Comedy,115.0,6.3,48.0
The Cure,Universal Pictures,Drama,97.0,7.2,58.0
Castle Freak,Full Moon Entertainment,Thriller,95.0,5.8,40.0
Circle of Friends,The Rank Organisation,Drama,103.0,6.5,30.0
Clerks,Miramax Films,Comedy,92.0,7.4,769.0
Don Juan DeMarco,New Line Cinema,Romance,97.0,6.3,184.0
Disclosure,Warner Bros.,Drama,123.0,5.9,217.0
Dream Man,Keystone Pictures,Thriller,0.0,2.5,1.0
Drop Zone,Paramount Pictures,Action,101.0,5.1,91.0
Death and the Maiden,Fine Line Features,Drama,103.0,7.1,92.0
Dolores Claiborne,Castle Rock Entertainment,Crime,132.0,7.1,183.0
Dumb and Dumber,New Line Cinema,Comedy,107.0,6.5,1894.0
Exotica,Miramax Films,Drama,103.0,6.5,64.0
Exit to Eden,Savoy Pictures,Thriller,113.0,4.3,28.0
Ed Wood,Touchstone Pictures,Comedy,127.0,7.3,639.0
French Kiss,Twentieth Century Fox Film Corporation,Comedy,111.0,6.2,179.0
Forget Paris,Columbia Pictures,Comedy,101.0,6.1,38.0
Far from Home: The Adventures of Yellow Dog,Twentieth Century Fox Film Corporation,Action,87.0,5.6,27.0
A Goofy Movie,Walt Disney Pictures,Romance,78.0,6.7,404.0
Hideaway,TriStar Pictures,Drama,103.0,5.0,24.0
Fluke,Metro-Goldwyn-Mayer,Drama,96.0,6.6,48.0
Gordy,[],Drama,90.0,3.0,4.0
Gumby: The Movie,[],Fantasy,77.0,5.0,2.0
The Glass Shield,Miramax Films,Drama,109.0,5.4,9.0
Hoop Dreams,Fine Line Features,Documentary,171.0,7.7,91.0
Heavenly Creatures,WingNut Films,Drama,99.0,6.9,299.0
Houseguest,Caravan Pictures,Comedy,113.0,6.0,17.0
Immortal Beloved,Columbia Pictures,Drama,121.0,6.9,90.0
Heavyweights,Walt Disney Pictures,Comedy,100.0,6.0,97.0
The Hunted,Universal Pictures,Action,106.0,6.0,25.0
I.Q.,Paramount Pictures,Comedy,100.0,5.9,112.0
Interview with the Vampire,Geffen Pictures,Horror,123.0,7.2,1558.0
Jefferson in Paris,Merchant Ivory Productions,Drama,139.0,5.2,10.0
The Jerky Boys,Caravan Pictures,Comedy,82.0,4.8,10.0
Junior,Universal Pictures,Comedy,109.0,4.7,381.0
Just Cause,Fountainbridge Films,Action,102.0,6.0,124.0
A Kid in King Arthur's Court,Walt Disney Pictures,Adventure,89.0,4.3,40.0
Kiss of Death,Twentieth Century Fox Film Corporation,Action,101.0,5.7,83.0
Star Wars,Lucasfilm,Adventure,121.0,8.1,6778.0
Little Women,Columbia Pictures,Drama,115.0,7.0,222.0
A Little Princess,Warner Bros.,Drama,97.0,7.4,207.0
Ladybird Ladybird,Channel Four Films,Drama,101.0,7.4,14.0
Legends of the Fall,Bedford Falls Productions,Adventure,133.0,7.2,636.0
Major Payne,Universal Pictures,Adventure,95.0,6.1,164.0
Little Odessa,Fine Line Features,Action,98.0,6.4,31.0
Mi Vida Loca,Channel Four Films,Crime,92.0,5.7,9.0
Love Affair,Warner Bros.,Drama,108.0,4.3,11.0
Losing Isaiah,Paramount Pictures,Drama,106.0,6.4,28.0
The Madness of King George,Channel Four Films,Comedy,107.0,6.7,67.0
Frankenstein,American Zoetrope,Drama,123.0,6.1,272.0
Man of the House,Walt Disney Pictures,Action,96.0,5.1,40.0
Mixed Nuts,TriStar Pictures,Comedy,97.0,5.2,37.0
Milk Money,Paramount Pictures,Comedy,108.0,5.6,49.0
Miracle on 34th Street,Twentieth Century Fox Film Corporation,Fantasy,114.0,6.4,199.0
Miami Rhapsody,Hollywood Pictures,Comedy,95.0,5.6,7.0
My Family,American Zoetrope,Comedy,128.0,7.0,11.0
Murder in the First,Wolper Organization,Crime,122.0,6.9,140.0
Nobody's Fool,Paramount Pictures,Drama,110.0,7.0,56.0
Nell,Twentieth Century Fox Film Corporation,Drama,112.0,6.1,128.0
New Jersey Drive,40 Acres & A Mule Filmworks,Crime,98.0,6.9,7.0
New York Cop,TOEI,Action,93.0,0.0,0.0
Beyond Bedlam,Metrodome Films,Horror,89.0,4.0,4.0
Nemesis 2 - Nebula,Filmwerks,Science Fiction,83.0,4.6,10.0
Nina Takes a Lover,Triumph Films,Drama,100.0,7.4,4.0
Natural Born Killers,Regency Enterprises,Crime,119.0,6.9,927.0
Only You,TriStar Pictures,Comedy,115.0,6.4,92.0
Once Were Warriors,Avalon Studios,Drama,99.0,7.6,106.0
Poison Ivy II: Lily,New Line Cinema,Drama,106.0,4.6,32.0
Outbreak,Kopelson Entertainment,Action,127.0,6.4,522.0
The Perez Family,"Samuel Goldwyn Company, The",Comedy,113.0,6.6,9.0
A Pyromaniac's Love Story,Hollywood Pictures,Comedy,94.0,7.0,2.0
Pulp Fiction,Miramax Films,Thriller,154.0,8.3,8670.0
Panther,Polygram Filmed Entertainment,Drama,124.0,6.4,6.0
Priest,BBC Films,Drama,98.0,6.4,32.0
Quiz Show,Wildwood Enterprises,History,133.0,7.1,262.0
Picture Bride,Cecile Company,Drama,94.0,7.4,5.0
The Quick and the Dead,TriStar Pictures,Action,107.0,6.2,431.0
Prêt-à-Porter,Miramax Films,Drama,133.0,5.3,33.0
Rent-a-Kid,[],Comedy,85.0,5.1,15.0
Relative Fear,Allegro Films,Horror,90.0,4.7,3.0
Stuart Saves His Family,Paramount Pictures,Comedy,95.0,5.0,6.0
The Swan Princess,Rich Animation Studios,Animation,89.0,6.5,251.0
The Secret of Roan Inish,Jones Entertainment Group,Drama,97.0,6.1,15.0
The Specialist,Jerry Weintraub Productions,Action,110.0,5.5,317.0
Stargate,Centropolis Entertainment,Action,121.0,6.8,942.0
The Santa Clause,Walt Disney Pictures,Fantasy,97.0,6.3,501.0
The Shawshank Redemption,Castle Rock Entertainment,Drama,142.0,8.5,8358.0
Shallow Grave,Channel Four Films,Crime,92.0,7.0,247.0
Suture,Kino Korsakoff,Drama,96.0,6.0,7.0
Swimming with Sharks,Cineville,Crime,101.0,6.7,104.0
The Sum of Us,Samuel Goldwyn Company,Comedy,100.0,6.0,21.0
Senior Trip,New Line Cinema,Comedy,91.0,5.7,23.0
Tank Girl,Trilogy Entertainment Group,Action,98.0,5.5,140.0
Tales from the Crypt: Demon Knight,Universal Pictures,Horror,92.0,6.7,96.0
Star Trek: Generations,Paramount Pictures,Science Fiction,118.0,6.4,461.0
Tales from the Hood,40 Acres & A Mule Filmworks,Crime,98.0,5.4,33.0
Tom & Viv,[],Drama,115.0,5.8,8.0
Village of the Damned,Universal Pictures,Thriller,99.0,5.6,165.0
Tommy Boy,Paramount Pictures,Comedy,97.0,6.8,321.0
Vanya on 42nd Street,Sony Pictures Classics,Drama,119.0,6.1,15.0
The Underneath,Populist Pictures,Thriller,99.0,5.6,15.0
The Walking Dead,Savoy Pictures,Drama,88.0,6.6,4.0
What's Eating Gilbert Grape,Paramount Pictures,Romance,118.0,7.5,943.0
Virtuosity,Paramount Pictures,Action,106.0,5.4,163.0
While You Were Sleeping,Caravan Pictures,Comedy,103.0,6.5,340.0
The War,Universal Pictures,Drama,126.0,6.3,39.0
Double Happiness,Fine Line Features,Comedy,87.0,5.5,2.0
Muriel's Wedding,Ciby 2000,Drama,106.0,6.9,104.0
The Baby-Sitters Club,Columbia Pictures Corporation,Comedy,94.0,5.3,23.0
Ace Ventura: Pet Detective,Warner Bros.,Comedy,86.0,6.4,1684.0
"The Adventures of Priscilla, Queen of the Desert",PolyGram Filmed Entertainment,Drama,104.0,7.2,174.0
Backbeat,Gramercy Pictures,Drama,100.0,6.2,37.0
Bitter Moon,Fine Line Features,Thriller,139.0,7.0,115.0
Bullets Over Broadway,Miramax Films,Action,98.0,7.0,130.0
Clear and Present Danger,Paramount Pictures,Action,141.0,6.4,390.0
The Client,Regency Enterprises,Drama,119.0,6.4,287.0
"Corrina, Corrina",New Line Cinema,Comedy,115.0,6.4,83.0
Crooklyn,Universal Pictures,Comedy,115.0,6.7,31.0
The Crow,Miramax Films,Fantasy,102.0,7.3,980.0
Cobb,Regency Enterprises,Drama,128.0,6.1,29.0
The Flintstones,Universal Pictures,Fantasy,91.0,5.0,559.0
Forrest Gump,Paramount Pictures,Comedy,142.0,8.2,8147.0
Four Weddings and a Funeral,Channel Four Films,Comedy,117.0,6.6,654.0
Higher Learning,Columbia Pictures Corporation,Romance,127.0,6.4,49.0
I Like It Like That,Columbia Pictures Corporation,Comedy,104.0,6.3,4.0
I Love Trouble,Caravan Pictures,Action,123.0,5.3,41.0
It Could Happen to You,TriStar Pictures,Comedy,101.0,6.1,154.0
The Jungle Book,[],Adventure,111.0,5.9,107.0
Die Macht der Bilder: Leni Riefenstahl,Channel Four Films,Documentary,180.0,7.3,5.0
The Lion King,Walt Disney Pictures,Family,89.0,8.0,5520.0
Little Buddha,Miramax Films,Drama,140.0,6.0,76.0
New Nightmare,New Line Cinema,Horror,112.0,6.4,297.0
The Mask,New Line Cinema,Romance,101.0,6.6,2550.0
Maverick,Icon Entertainment International,Action,127.0,6.6,490.0
Mrs. Parker and the Vicious Circle,Fine Line Features,Drama,125.0,6.3,20.0
The Naked Gun 33⅓: The Final Insult,Paramount Pictures,Comedy,83.0,6.4,535.0
The Paper,Imagine Entertainment,Comedy,112.0,6.1,40.0
Reality Bites,Universal Pictures,Drama,99.0,6.5,180.0
Red Rock West,Propaganda Films,Crime,98.0,6.4,71.0
Ri¢hie Ri¢h,Davis Entertainment,Comedy,95.0,5.4,426.0
Safe Passage,New Line Cinema,Drama,98.0,4.9,7.0
The River Wild,Universal Pictures,Action,111.0,6.1,214.0
Speed,Twentieth Century Fox Film Corporation,Action,116.0,6.8,1814.0
Speechless,Metro-Goldwyn-Mayer (MGM),Comedy,99.0,5.5,24.0
Timecop,Universal Pictures,Thriller,99.0,5.5,288.0
True Lies,Twentieth Century Fox Film Corporation,Action,141.0,6.8,1138.0
When a Man Loves a Woman,Touchstone Pictures,Drama,126.0,6.0,71.0
Wolf,Columbia Pictures,Fantasy,125.0,6.0,221.0
Wyatt Earp,Tig Productions,Drama,191.0,6.5,203.0
Bad Company,Touchstone Pictures,Action,108.0,4.9,12.0
A Man of No Importance,BBC Films,Comedy,99.0,6.5,2.0
S.F.W.,Gramercy Pictures,Comedy,96.0,6.1,22.0
A Low Down Dirty Shame,Caravan Pictures,Action,100.0,6.0,31.0
"Boys Life: Three Stories of Love, Lust, and Liberation",Strand Releasing,Drama,91.0,2.0,1.0
"Faster, Pussycat! Kill! Kill!",Eve Productions Inc.,Action,83.0,6.5,59.0
Jason's Lyric,[],Crime,119.0,5.9,9.0
The Secret Adventures of Tom Thumb,Bolex Brothers,Animation,61.0,7.1,8.0
Street Fighter,Universal Pictures,Action,102.0,4.1,330.0
Coldblooded,Propaganda Films,Action,92.0,6.7,13.0
Desert Winds,[],[],97.0,0.0,0.0
Fall Time,Live Entertainment,Action,88.0,6.3,6.0
The Fear,A-Pix Entertainment,Horror,98.0,3.4,7.0
Frank and Ollie,Walt Disney Pictures,Documentary,89.0,7.5,4.0
Girl in the Cadillac,Overseas FilmGroup,Romance,89.0,10.0,1.0
Homage,Skyline Entertainment Partners,Thriller,97.0,0.0,0.0
Mirage,[],Action,92.0,4.0,1.0
Open Season,Home Box Office (HBO),Comedy,97.0,0.0,0.0
Dos Crímenes,[],[],0.0,5.0,1.0
Brother Minister: The Assassination of Malcolm X,[],Documentary,115.0,4.0,1.0
Highlander III: The Sorcerer,Trans-Film,Action,99.0,4.5,110.0
Federal Hill,[],[],97.0,5.0,2.0
In the Mouth of Madness,New Line Cinema,Horror,95.0,7.1,307.0
8 Seconds,New Line Cinema,Drama,105.0,7.2,22.0
Above the Rim,New Line Cinema,Crime,96.0,6.7,40.0
Addams Family Values,Paramount Pictures,Comedy,94.0,6.5,537.0
Martin Lawrence: You So Crazy,HBO Independent Productions,Comedy,84.0,4.5,4.0
The Age of Innocence,Columbia Pictures,Drama,139.0,7.0,172.0
Airheads,Twentieth Century Fox Film Corporation,Comedy,92.0,5.8,222.0
The Air Up There,Hollywood Pictures,Comedy,107.0,5.1,42.0
Another Stakeout,Touchstone Pictures,Action,105.0,4.9,58.0
Bad Girls,Twentieth Century Fox Film Corporation,Action,99.0,4.6,61.0
Barcelona,Fine Line Features,Comedy,100.0,6.6,20.0
Being Human,Warner Bros.,Drama,122.0,5.0,15.0
The Beverly Hillbillies,Twentieth Century Fox Film Corporation,Comedy,93.0,5.0,86.0
Beverly Hills Cop III,Paramount Pictures,Action,104.0,5.5,445.0
Black Beauty,Warner Bros.,Action,88.0,6.6,68.0
Blink,New Line Cinema,Mystery,106.0,6.3,45.0
Blown Away,Trilogy Entertainment Group,Drama,121.0,6.0,126.0
Blue Chips,Paramount Pictures,Drama,108.0,5.7,41.0
Blue Sky,Orion Pictures Corporation,Drama,101.0,6.1,28.0
Body Snatchers,Warner Bros.,Horror,87.0,5.8,102.0
Boxing Helena,Mainline Pictures,Drama,107.0,4.5,59.0
A Bronx Tale,HBO Films,Drama,121.0,7.4,447.0
Cabin Boy,Touchstone Pictures,Comedy,80.0,4.9,28.0
Calendar Girl,Columbia Pictures,Drama,90.0,3.7,10.0
Carlito's Way,Universal Pictures,Action,144.0,7.7,805.0
City Slickers II: The Legend of Curly's Gold,Columbia Pictures,Action,116.0,4.9,103.0
Clean Slate,Metro-Goldwyn-Mayer (MGM),Comedy,107.0,5.7,25.0
Cliffhanger,TriStar Pictures,Action,112.0,6.1,600.0
Coneheads,Paramount Pictures,Comedy,88.0,4.8,228.0
Color of Night,Hollywood Pictures,Drama,121.0,5.4,117.0
Cops & Robbersons,TriStar Pictures,Action,93.0,5.0,36.0
The Cowboy Way,Imagine Entertainment,Western,102.0,5.1,38.0
Dangerous Game,Metro-Goldwyn-Mayer (MGM),Drama,108.0,5.4,9.0
Dave,Donner/Shuler-Donner Productions,Comedy,110.0,6.3,205.0
Dazed and Confused,Gramercy Pictures,Comedy,102.0,7.4,588.0
Demolition Man,Silver Pictures,Crime,115.0,6.4,1018.0
The Endless Summer 2,[],Documentary,109.0,7.1,12.0
Even Cowgirls Get the Blues,Fine Line Features,Western,96.0,4.2,29.0
Fatal Instinct,Metro-Goldwyn-Mayer (MGM),Comedy,91.0,5.4,37.0
The Favor,Orion Pictures,Drama,97.0,3.3,6.0
Fearless,Spring Creek Productions,Drama,122.0,6.8,80.0
Fear of a Black Hat,[],Comedy,88.0,5.8,11.0
With Honors,Spring Creek Productions,Comedy,103.0,6.1,54.0
Flesh and Bone,Paramount Pictures,Drama,126.0,6.2,22.0
Widows' Peak,Fine Line Features,Comedy,101.0,4.3,3.0
For Love or Money,Universal Studios,Comedy,94.0,5.7,77.0
